gene,mean_gc,max_gc,min_gc,std_gc,spikiness,max_z_score,anomaly,anomaly_score,anomaly_label
ACTB,45.48,78.0,23.2,7.86,32.52,4.14,1,0.04100632694546408,normal
AR,53.27,59.2,48.4,2.98,5.93,1.99,1,0.05625777331233617,normal
ATXN1,41.87,80.2,22.4,6.04,38.33,6.34,-1,-0.034896648681171705,anomaly
ATXN2,50.09,75.6,33.8,8.57,25.51,2.98,1,0.057826218727546896,normal
ATXN3,42.26,66.4,25.0,6.24,24.14,3.87,1,0.07720463273853995,normal
ATXN7,44.26,65.6,27.2,9.47,21.34,2.25,1,0.05185405413537575,normal
B2M,42.73,67.6,33.6,7.39,24.87,3.36,1,0.09531583961177087,normal
C9orf72,35.74,72.2,23.4,7.2,36.46,5.06,1,0.010473058886251274,normal
CACNA1A,59.1,78.6,36.8,10.42,19.5,1.87,-1,-0.019618008024488875,anomaly
DMPK,64.33,69.4,59.8,2.85,5.07,1.78,-1,-0.0632757864374256,anomaly
EEF1A1,42.92,51.0,35.2,5.27,8.08,1.53,1,0.05626003292201509,normal
FMR1,36.2,73.8,26.2,6.26,37.6,6.01,1,0.02324535516601378,normal
FXN,43.9,57.4,34.8,4.17,13.5,3.24,1,0.07106317996454226,normal
HPRT1,38.9,72.8,26.0,6.51,33.9,5.2,1,0.04694797699778336,normal
HTT,53.61,67.2,40.8,5.41,13.59,2.51,1,0.1017632262863214,normal
PGK1,42.19,52.4,32.6,6.25,10.21,1.64,1,0.0583471595625667,normal
PPIA,45.54,48.0,41.4,2.08,2.46,1.18,-1,-0.041739276652724366,anomaly
PPP2R2B,42.97,59.8,33.2,4.47,16.83,3.77,1,0.08001141883198021,normal
RPL13,54.06,66.4,49.2,4.98,12.34,2.48,1,0.08106149009633257,normal
RPL13A,53.54,62.2,45.0,4.54,8.66,1.91,1,0.07782309738594606,normal
SDHA,40.8,79.0,26.8,10.07,38.2,3.79,1,0.004904502006122247,normal
TBP,52.19,75.2,39.0,6.97,23.01,3.3,1,0.07695519920739996,normal
TUBB,53.37,70.6,41.6,6.53,17.23,2.64,1,0.0833363558505873,normal
UBC,52.79,54.2,52.0,0.52,1.41,2.73,-1,-0.054081478652913906,anomaly
YWHAZ,39.27,50.2,29.2,4.76,10.93,2.3,1,0.04188632731979969,normal
