gene,mean_gc,max_gc,min_gc,std_gc,spikiness,max_z_score,anomaly_score_targeted
ACTB,45.48,78.0,23.2,7.86,32.52,4.14,1
ATXN1,41.87,80.2,22.4,6.04,38.33,6.34,-1
ATXN3,42.26,66.4,25.0,6.24,24.14,3.87,1
B2M,42.73,67.6,33.6,7.39,24.87,3.36,1
C9orf72,35.74,72.2,23.4,7.2,36.46,5.06,1
FMR1,36.2,73.8,26.2,6.26,37.6,6.01,-1
HPRT1,38.9,72.8,26.0,6.51,33.9,5.2,1
RPL13A,53.54,62.2,45.0,4.54,8.66,1.91,-1
SDHA,40.8,79.0,26.8,10.07,38.2,3.79,1
TBP,52.19,75.2,39.0,6.97,23.01,3.3,1
TUBB,53.37,70.6,41.6,6.53,17.23,2.64,-1
