gene,mean_gc,max_gc,min_gc,std_gc,spikiness,max_z_score,anomaly,anomaly_score,anomaly_label
ACTB,45.48,78.0,23.2,7.86,32.52,4.14,1,0.019808027870131473,normal
AR,53.27,59.2,48.4,2.98,5.93,1.99,1,0.08613352598240798,normal
ATXN1,41.87,80.2,22.4,6.04,38.33,6.34,-1,-0.0770050279348079,anomaly
ATXN2,50.09,75.6,33.8,8.57,25.51,2.98,1,0.06722406234295297,normal
ATXN3,42.26,66.4,25.0,6.24,24.14,3.87,1,0.06061813679585115,normal
ATXN7,44.26,65.6,27.2,9.47,21.34,2.25,1,0.06798797123571532,normal
B2M,42.73,67.6,33.6,7.39,24.87,3.36,1,0.09344357033698486,normal
C9orf72,35.74,72.2,23.4,7.2,36.46,5.06,1,0.0027872715405117265,normal
CACNA1A,59.1,78.6,36.8,10.42,19.5,1.87,1,0.06150550711378522,normal
DMPK,64.33,69.4,59.8,2.85,5.07,1.78,1,0.06539533128949387,normal
EEF1A1,42.92,51.0,35.2,5.27,8.08,1.53,1,0.058185634076873605,normal
FMR1,36.2,73.8,26.2,6.26,37.6,6.01,-1,-0.03400916166388612,anomaly
FXN,43.9,57.4,34.8,4.17,13.5,3.24,1,0.07620801913326053,normal
HPRT1,38.9,72.8,26.0,6.51,33.9,5.2,-1,-0.005999527011177674,anomaly
HTT,53.61,67.2,40.8,5.41,13.59,2.51,1,0.11573606685917243,normal
PGK1,42.19,52.4,32.6,6.25,10.21,1.64,1,0.07209696046042308,normal
PPIA,45.54,48.0,41.4,2.08,2.46,1.18,-1,-0.055893044634785505,anomaly
PPP2R2B,42.97,59.8,33.2,4.47,16.83,3.77,1,0.04231152784698766,normal
RPL13,54.06,66.4,49.2,4.98,12.34,2.48,1,0.11076205417564522,normal
RPL13A,53.54,62.2,45.0,4.54,8.66,1.91,1,0.10136064588360583,normal
SDHA,40.8,79.0,26.8,10.07,38.2,3.79,1,0.0014998817527944741,normal
TBP,52.19,75.2,39.0,6.97,23.01,3.3,1,0.09329565024104375,normal
TUBB,53.37,70.6,41.6,6.53,17.23,2.64,1,0.09125498474011162,normal
UBC,52.79,54.2,52.0,0.52,1.41,2.73,-1,-0.012178595312948626,anomaly
YWHAZ,39.27,50.2,29.2,4.76,10.93,2.3,1,0.11053170770684612,normal
