gene,mean_gc,max_gc,min_gc,std_gc,spikiness,max_z_score
ACTB,45.48,78.0,23.2,7.86,32.52,4.14
AR,53.27,59.2,48.4,2.98,5.93,1.99
ATXN1,41.87,80.2,22.4,6.04,38.33,6.34
ATXN2,50.09,75.6,33.8,8.57,25.51,2.98
ATXN3,42.26,66.4,25.0,6.24,24.14,3.87
ATXN7,44.26,65.6,27.2,9.47,21.34,2.25
B2M,42.73,67.6,33.6,7.39,24.87,3.36
C9orf72,35.74,72.2,23.4,7.2,36.46,5.06
CACNA1A,59.1,78.6,36.8,10.42,19.5,1.87
DMPK,64.33,69.4,59.8,2.85,5.07,1.78
EEF1A1,42.92,51.0,35.2,5.27,8.08,1.53
FMR1,36.2,73.8,26.2,6.26,37.6,6.01
FXN,43.9,57.4,34.8,4.17,13.5,3.24
HPRT1,38.9,72.8,26.0,6.51,33.9,5.2
HTT,53.61,67.2,40.8,5.41,13.59,2.51
PGK1,42.19,52.4,32.6,6.25,10.21,1.64
PPIA,45.54,48.0,41.4,2.08,2.46,1.18
PPP2R2B,42.97,59.8,33.2,4.47,16.83,3.77
RPL13,54.06,66.4,49.2,4.98,12.34,2.48
RPL13A,53.54,62.2,45.0,4.54,8.66,1.91
SDHA,40.8,79.0,26.8,10.07,38.2,3.79
TBP,52.19,75.2,39.0,6.97,23.01,3.3
TUBB,53.37,70.6,41.6,6.53,17.23,2.64
UBC,52.79,54.2,52.0,0.52,1.41,2.73
YWHAZ,39.27,50.2,29.2,4.76,10.93,2.3
