start,end,gc_content,z_score
1,500,67.2,2.51
101,600,63.0,1.74
201,700,57.2,0.66
301,800,54.4,0.15
401,900,46.6,-1.3
501,1000,48.8,-0.89
601,1100,48.4,-0.96
701,1200,51.0,-0.48
801,1300,49.6,-0.74
901,1400,53.6,-0.0
1001,1500,52.0,-0.3
1101,1600,53.6,-0.0
1201,1700,54.4,0.15
1301,1800,55.6,0.37
1401,1900,54.4,0.15
1501,2000,56.0,0.44
1601,2100,54.2,0.11
1701,2200,52.4,-0.22
1801,2300,51.6,-0.37
1901,2400,50.4,-0.59
2001,2500,50.4,-0.59
2101,2600,51.4,-0.41
2201,2700,51.2,-0.45
2301,2800,50.4,-0.59
2401,2900,48.4,-0.96
2501,3000,47.0,-1.22
2601,3100,46.6,-1.3
2701,3200,44.4,-1.7
2801,3300,44.4,-1.7
2901,3400,46.8,-1.26
3001,3500,47.2,-1.19
3101,3600,50.4,-0.59
3201,3700,54.4,0.15
3301,3800,54.4,0.15
3401,3900,52.2,-0.26
3501,4000,52.4,-0.22
3601,4100,48.2,-1.0
3701,4200,48.0,-1.04
3801,4300,50.8,-0.52
3901,4400,52.0,-0.3
4001,4500,48.6,-0.93
4101,4600,48.0,-1.04
4201,4700,44.6,-1.67
4301,4800,42.2,-2.11
4401,4900,40.8,-2.37
4501,5000,43.8,-1.81
4601,5100,45.2,-1.55
4701,5200,47.2,-1.19
4801,5300,44.2,-1.74
4901,5400,43.4,-1.89
5001,5500,41.8,-2.18
5101,5600,43.4,-1.89
5201,5700,45.8,-1.44
5301,5800,48.8,-0.89
5401,5900,50.2,-0.63
5501,6000,52.2,-0.26
5601,6100,51.2,-0.45
5701,6200,51.4,-0.41
5801,6300,51.0,-0.48
5901,6400,53.4,-0.04
6001,6500,53.8,0.03
6101,6600,53.6,-0.0
6201,6700,53.2,-0.08
6301,6800,54.6,0.18
6401,6900,55.2,0.29
6501,7000,56.4,0.52
6601,7100,59.2,1.03
6701,7200,57.8,0.77
6801,7300,56.4,0.52
6901,7400,56.6,0.55
7001,7500,55.2,0.29
7101,7600,54.2,0.11
7201,7700,55.6,0.37
7301,7800,57.2,0.66
7401,7900,54.2,0.11
7501,8000,56.0,0.44
7601,8100,57.2,0.66
7701,8200,56.4,0.52
7801,8300,56.8,0.59
7901,8400,59.2,1.03
8001,8500,60.8,1.33
8101,8600,60.0,1.18
8201,8700,60.0,1.18
8301,8800,58.2,0.85
8401,8900,59.6,1.11
8501,9000,57.4,0.7
8601,9100,55.4,0.33
8701,9200,55.2,0.29
8801,9300,57.4,0.7
8901,9400,57.4,0.7
9001,9500,57.4,0.7
9101,9600,59.0,1.0
9201,9700,62.0,1.55
9301,9800,62.6,1.66
9401,9900,61.4,1.44
9501,10000,62.0,1.55
9601,10100,64.2,1.96
9701,10200,57.0,0.63
9801,10300,57.2,0.66
9901,10400,56.2,0.48
10001,10500,56.8,0.59
10101,10600,55.8,0.4
10201,10700,61.2,1.4
10301,10800,59.2,1.03
10401,10900,61.2,1.4
10501,11000,59.4,1.07
10601,11100,59.2,1.03
10701,11200,57.6,0.74
10801,11300,58.6,0.92
10901,11400,59.4,1.07
11001,11500,57.6,0.74
11101,11600,57.2,0.66
11201,11700,55.0,0.26
11301,11800,52.2,-0.26
11401,11900,49.8,-0.7
11501,12000,49.0,-0.85
11601,12100,48.6,-0.93
11701,12200,50.4,-0.59
11801,12300,48.6,-0.93
11901,12400,47.6,-1.11
12001,12500,48.8,-0.89
12101,12600,48.8,-0.89
12201,12700,50.8,-0.52
12301,12800,54.6,0.18
12401,12900,57.8,0.77
12501,13000,59.6,1.11
12601,13100,60.8,1.33
12701,13200,60.0,1.18
12801,13300,61.4,1.44
12901,13400,60.6,1.29
