start,end,gc_content,z_score
1,500,73.4,3.55
101,600,74.2,3.65
201,700,73.2,3.53
301,800,68.6,2.94
401,900,64.2,2.38
501,1000,62.8,2.2
601,1100,56.8,1.44
701,1200,52.8,0.93
801,1300,49.8,0.55
901,1400,48.0,0.32
1001,1500,43.0,-0.32
1101,1600,44.0,-0.19
1201,1700,43.2,-0.29
1301,1800,42.2,-0.42
1401,1900,36.6,-1.13
1501,2000,36.0,-1.21
1601,2100,35.0,-1.33
1701,2200,32.6,-1.64
1801,2300,36.0,-1.21
1901,2400,40.8,-0.6
2001,2500,44.2,-0.16
2101,2600,40.0,-0.7
2201,2700,42.6,-0.37
2301,2800,39.2,-0.8
2401,2900,41.0,-0.57
2501,3000,39.2,-0.8
2601,3100,42.8,-0.34
2701,3200,40.0,-0.7
2801,3300,41.2,-0.54
2901,3400,39.6,-0.75
3001,3500,40.2,-0.67
3101,3600,39.2,-0.8
3201,3700,42.4,-0.39
3301,3800,42.2,-0.42
3401,3900,39.4,-0.77
3501,4000,38.8,-0.85
3601,4100,42.4,-0.39
3701,4200,46.0,0.07
3801,4300,48.6,0.4
3901,4400,52.6,0.91
4001,4500,54.4,1.13
4101,4600,52.6,0.91
4201,4700,50.6,0.65
4301,4800,50.2,0.6
4401,4900,48.4,0.37
4501,5000,44.8,-0.09
4601,5100,45.4,-0.01
4701,5200,46.4,0.12
4801,5300,45.2,-0.04
4901,5400,43.0,-0.32
5001,5500,44.4,-0.14
5101,5600,44.4,-0.14
5201,5700,44.6,-0.11
5301,5800,44.2,-0.16
5401,5900,43.2,-0.29
5501,6000,40.4,-0.65
5601,6100,36.4,-1.16
5701,6200,32.6,-1.64
5801,6300,32.0,-1.72
5901,6400,33.6,-1.51
6001,6500,35.8,-1.23
6101,6600,39.0,-0.82
6201,6700,39.4,-0.77
6301,6800,37.8,-0.98
6401,6900,35.6,-1.26
6501,7000,39.2,-0.8
6601,7100,40.6,-0.62
6701,7200,43.8,-0.21
6801,7300,43.0,-0.32
6901,7400,44.2,-0.16
7001,7500,37.6,-1.0
7101,7600,34.6,-1.38
7201,7700,31.6,-1.77
7301,7800,32.8,-1.61
7401,7900,35.0,-1.33
7501,8000,38.6,-0.88
7601,8100,41.0,-0.57
7701,8200,43.8,-0.21
7801,8300,47.0,0.19
7901,8400,48.0,0.32
8001,8500,49.4,0.5
8101,8600,47.0,0.19
8201,8700,45.6,0.02
8301,8800,47.2,0.22
8401,8900,47.2,0.22
8501,9000,43.2,-0.29
8601,9100,44.6,-0.11
8701,9200,41.8,-0.47
8801,9300,38.8,-0.85
8901,9400,36.2,-1.18
9001,9500,39.2,-0.8
9101,9600,38.8,-0.85
9201,9700,40.8,-0.6
9301,9800,43.4,-0.26
9401,9900,46.4,0.12
9501,10000,48.2,0.35
9601,10100,49.8,0.55
9701,10200,50.6,0.65
9801,10300,52.8,0.93
9901,10400,51.8,0.8
10001,10500,49.4,0.5
10101,10600,51.2,0.73
10201,10700,52.2,0.85
10301,10800,49.4,0.5
10401,10900,48.0,0.32
10501,11000,46.0,0.07
10601,11100,40.0,-0.7
10701,11200,38.0,-0.95
10801,11300,37.4,-1.03
10901,11400,37.2,-1.05
11001,11500,37.0,-1.08
11101,11600,38.6,-0.88
11201,11700,38.8,-0.85
11301,11800,40.6,-0.62
11401,11900,44.0,-0.19
11501,12000,46.8,0.17
11601,12100,48.2,0.35
11701,12200,48.4,0.37
11801,12300,43.8,-0.21
11901,12400,39.4,-0.77
12001,12500,37.0,-1.08
12101,12600,34.2,-1.44
12201,12700,31.8,-1.74
12301,12800,35.8,-1.23
12401,12900,38.2,-0.93
12501,13000,39.0,-0.82
12601,13100,41.4,-0.52
12701,13200,40.2,-0.67
12801,13300,41.4,-0.52
12901,13400,41.6,-0.49
13001,13500,44.0,-0.19
13101,13600,45.6,0.02
13201,13700,50.8,0.68
13301,13800,51.4,0.75
13401,13900,48.6,0.4
13501,14000,45.8,0.04
13601,14100,44.2,-0.16
13701,14200,39.2,-0.8
13801,14300,32.6,-1.64
13901,14400,33.4,-1.54
14001,14500,33.8,-1.49
14101,14600,34.0,-1.46
14201,14700,40.2,-0.67
14301,14800,44.6,-0.11
14401,14900,48.4,0.37
14501,15000,48.2,0.35
14601,15100,46.4,0.12
14701,15200,40.4,-0.65
14801,15300,37.6,-1.0
14901,15400,32.8,-1.61
15001,15500,30.8,-1.87
15101,15600,31.4,-1.79
15201,15700,32.6,-1.64
15301,15800,33.6,-1.51
15401,15900,33.4,-1.54
15501,16000,33.6,-1.51
15601,16100,31.2,-1.82
15701,16200,33.4,-1.54
15801,16300,35.2,-1.31
15901,16400,40.6,-0.62
16001,16500,41.6,-0.49
16101,16600,43.4,-0.26
16201,16700,40.4,-0.65
16301,16800,35.2,-1.31
16401,16900,30.4,-1.92
16501,17000,33.2,-1.56
16601,17100,33.4,-1.54
16701,17200,33.0,-1.59
16801,17300,36.4,-1.16
16901,17400,37.6,-1.0
17001,17500,39.8,-0.72
17101,17600,44.0,-0.19
17201,17700,45.4,-0.01
17301,17800,46.0,0.07
17401,17900,46.4,0.12
17501,18000,45.8,0.04
17601,18100,39.6,-0.75
17701,18200,39.4,-0.77
17801,18300,39.8,-0.72
17901,18400,43.0,-0.32
18001,18500,43.6,-0.24
18101,18600,48.4,0.37
18201,18700,49.6,0.52
18301,18800,47.0,0.19
18401,18900,43.4,-0.26
18501,19000,39.8,-0.72
18601,19100,39.2,-0.8
18701,19200,39.8,-0.72
18801,19300,39.6,-0.75
18901,19400,41.6,-0.49
19001,19500,42.6,-0.37
19101,19600,42.8,-0.34
19201,19700,41.6,-0.49
19301,19800,47.2,0.22
19401,19900,54.4,1.13
19501,20000,62.6,2.18
19601,20100,70.4,3.17
19701,20200,75.6,3.83
19801,20300,78.0,4.14
19901,20400,73.4,3.55
20001,20500,69.4,3.04
20101,20600,65.0,2.48
20201,20700,64.4,2.41
20301,20800,61.8,2.08
20401,20900,60.0,1.85
20501,21000,53.0,0.96
20601,21100,47.0,0.19
20701,21200,42.0,-0.44
20801,21300,37.8,-0.98
20901,21400,34.4,-1.41
21001,21500,36.4,-1.16
21101,21600,38.2,-0.93
21201,21700,40.0,-0.7
21301,21800,42.2,-0.42
21401,21900,41.2,-0.54
21501,22000,40.0,-0.7
21601,22100,39.0,-0.82
21701,22200,39.4,-0.77
21801,22300,40.0,-0.7
21901,22400,44.8,-0.09
22001,22500,45.4,-0.01
22101,22600,44.4,-0.14
22201,22700,42.8,-0.34
22301,22800,43.0,-0.32
22401,22900,43.0,-0.32
22501,23000,42.8,-0.34
22601,23100,43.0,-0.32
22701,23200,40.2,-0.67
22801,23300,34.6,-1.38
22901,23400,28.8,-2.12
23001,23500,28.8,-2.12
23101,23600,29.4,-2.05
23201,23700,31.8,-1.74
23301,23800,35.0,-1.33
23401,23900,38.0,-0.95
23501,24000,36.6,-1.13
23601,24100,38.2,-0.93
23701,24200,38.2,-0.93
23801,24300,34.4,-1.41
