start,end,gc_content,z_score
1,500,63.8,3.89
101,600,64.0,3.92
201,700,67.6,4.42
301,800,72.2,5.06
401,900,69.8,4.73
501,1000,65.2,4.09
601,1100,63.4,3.84
701,1200,58.0,3.09
801,1300,55.2,2.7
901,1400,47.6,1.65
1001,1500,42.6,0.95
1101,1600,42.6,0.95
1201,1700,41.6,0.81
1301,1800,37.2,0.2
1401,1900,38.8,0.42
1501,2000,41.2,0.76
1601,2100,41.6,0.81
1701,2200,43.8,1.12
1801,2300,47.2,1.59
1901,2400,48.2,1.73
2001,2500,47.6,1.65
2101,2600,44.0,1.15
2201,2700,42.6,0.95
2301,2800,39.8,0.56
2401,2900,37.2,0.2
2501,3000,35.0,-0.1
2601,3100,40.6,0.67
2701,3200,42.0,0.87
2801,3300,45.2,1.31
2901,3400,45.4,1.34
3001,3500,45.2,1.31
3101,3600,39.2,0.48
3201,3700,34.4,-0.19
3301,3800,28.8,-0.96
3401,3900,28.8,-0.96
3501,4000,30.4,-0.74
3601,4100,30.4,-0.74
3701,4200,31.0,-0.66
3801,4300,33.6,-0.3
3901,4400,33.4,-0.32
4001,4500,34.8,-0.13
4101,4600,37.4,0.23
4201,4700,34.6,-0.16
4301,4800,30.8,-0.69
4401,4900,32.6,-0.44
4501,5000,34.0,-0.24
4601,5100,30.6,-0.71
4701,5200,33.0,-0.38
4801,5300,36.6,0.12
4901,5400,34.6,-0.16
5001,5500,34.2,-0.21
5101,5600,35.6,-0.02
5201,5700,36.6,0.12
5301,5800,35.8,0.01
5401,5900,35.4,-0.05
5501,6000,35.8,0.01
5601,6100,37.6,0.26
5701,6200,38.4,0.37
5801,6300,40.6,0.67
5901,6400,42.8,0.98
6001,6500,38.8,0.42
6101,6600,37.2,0.2
6201,6700,35.8,0.01
6301,6800,36.8,0.15
6401,6900,36.6,0.12
6501,7000,38.6,0.4
6601,7100,39.4,0.51
6701,7200,40.4,0.65
6801,7300,35.4,-0.05
6901,7400,33.8,-0.27
7001,7500,33.2,-0.35
7101,7600,32.4,-0.46
7201,7700,32.4,-0.46
7301,7800,33.6,-0.3
7401,7900,32.2,-0.49
7501,8000,31.0,-0.66
7601,8100,29.8,-0.82
7701,8200,29.4,-0.88
7801,8300,29.4,-0.88
7901,8400,31.2,-0.63
8001,8500,33.2,-0.35
8101,8600,33.2,-0.35
8201,8700,33.0,-0.38
8301,8800,35.4,-0.05
8401,8900,34.8,-0.13
8501,9000,36.4,0.09
8601,9100,38.6,0.4
8701,9200,37.2,0.2
8801,9300,35.6,-0.02
8901,9400,37.4,0.23
9001,9500,35.4,-0.05
9101,9600,33.2,-0.35
9201,9700,34.6,-0.16
9301,9800,34.2,-0.21
9401,9900,32.6,-0.44
9501,10000,32.8,-0.41
9601,10100,32.6,-0.44
9701,10200,32.0,-0.52
9801,10300,33.2,-0.35
9901,10400,30.4,-0.74
10001,10500,29.6,-0.85
10101,10600,29.4,-0.88
10201,10700,28.4,-1.02
10301,10800,27.0,-1.21
10401,10900,28.0,-1.07
10501,11000,30.2,-0.77
10601,11100,35.0,-0.1
10701,11200,38.8,0.42
10801,11300,38.4,0.37
10901,11400,39.8,0.56
11001,11500,37.8,0.29
11101,11600,32.2,-0.49
11201,11700,30.0,-0.8
11301,11800,29.8,-0.82
11401,11900,30.2,-0.77
11501,12000,30.6,-0.71
11601,12100,33.6,-0.3
11701,12200,33.0,-0.38
11801,12300,34.0,-0.24
11901,12400,34.4,-0.19
12001,12500,32.2,-0.49
12101,12600,32.2,-0.49
12201,12700,32.8,-0.41
12301,12800,34.4,-0.19
12401,12900,33.4,-0.32
12501,13000,34.6,-0.16
12601,13100,31.4,-0.6
12701,13200,33.2,-0.35
12801,13300,31.2,-0.63
12901,13400,30.2,-0.77
13001,13500,30.2,-0.77
13101,13600,32.4,-0.46
13201,13700,30.4,-0.74
13301,13800,31.2,-0.63
13401,13900,31.2,-0.63
13501,14000,30.2,-0.77
13601,14100,30.4,-0.74
13701,14200,30.4,-0.74
13801,14300,29.0,-0.94
13901,14400,28.4,-1.02
14001,14500,30.6,-0.71
14101,14600,32.2,-0.49
14201,14700,33.6,-0.3
14301,14800,33.6,-0.3
14401,14900,34.8,-0.13
14501,15000,34.8,-0.13
14601,15100,33.0,-0.38
14701,15200,30.6,-0.71
14801,15300,31.2,-0.63
14901,15400,32.8,-0.41
15001,15500,31.4,-0.6
15101,15600,32.8,-0.41
15201,15700,33.2,-0.35
15301,15800,30.6,-0.71
15401,15900,27.2,-1.19
15501,16000,28.0,-1.07
15601,16100,26.0,-1.35
15701,16200,25.4,-1.44
15801,16300,28.2,-1.05
15901,16400,29.6,-0.85
16001,16500,29.6,-0.85
16101,16600,29.6,-0.85
16201,16700,30.2,-0.77
16301,16800,31.8,-0.55
16401,16900,32.4,-0.46
16501,17000,32.2,-0.49
16601,17100,32.4,-0.46
16701,17200,35.4,-0.05
16801,17300,37.0,0.17
16901,17400,37.6,0.26
17001,17500,36.2,0.06
17101,17600,36.8,0.15
17201,17700,35.6,-0.02
17301,17800,30.0,-0.8
17401,17900,28.2,-1.05
17501,18000,28.2,-1.05
17601,18100,32.4,-0.46
17701,18200,32.6,-0.44
17801,18300,37.2,0.2
17901,18400,39.6,0.54
18001,18500,42.4,0.92
18101,18600,39.8,0.56
18201,18700,37.4,0.23
18301,18800,34.6,-0.16
18401,18900,33.6,-0.3
18501,19000,32.0,-0.52
18601,19100,29.2,-0.91
18701,19200,28.0,-1.07
18801,19300,29.2,-0.91
18901,19400,32.2,-0.49
19001,19500,34.0,-0.24
19101,19600,36.0,0.04
19201,19700,38.6,0.4
19301,19800,38.0,0.31
19401,19900,36.4,0.09
19501,20000,34.2,-0.21
19601,20100,34.0,-0.24
19701,20200,35.6,-0.02
19801,20300,36.4,0.09
19901,20400,37.0,0.17
20001,20500,38.8,0.42
20101,20600,39.4,0.51
20201,20700,37.6,0.26
20301,20800,36.8,0.15
20401,20900,36.2,0.06
20501,21000,35.6,-0.02
20601,21100,35.6,-0.02
20701,21200,35.0,-0.1
20801,21300,39.2,0.48
20901,21400,39.4,0.51
21001,21500,44.6,1.23
21101,21600,43.6,1.09
21201,21700,46.6,1.51
21301,21800,43.4,1.06
21401,21900,43.2,1.04
21501,22000,38.6,0.4
21601,22100,38.0,0.31
21701,22200,37.4,0.23
21801,22300,37.4,0.23
21901,22400,37.8,0.29
22001,22500,39.4,0.51
22101,22600,41.6,0.81
22201,22700,41.6,0.81
22301,22800,40.2,0.62
22401,22900,38.4,0.37
22501,23000,34.0,-0.24
22601,23100,30.8,-0.69
22701,23200,28.4,-1.02
22801,23300,29.0,-0.94
22901,23400,31.6,-0.57
23001,23500,32.6,-0.44
23101,23600,33.0,-0.38
23201,23700,31.6,-0.57
23301,23800,28.8,-0.96
23401,23900,23.4,-1.71
23501,24000,23.6,-1.68
23601,24100,23.6,-1.68
23701,24200,23.4,-1.71
23801,24300,25.6,-1.41
23901,24400,28.8,-0.96
24001,24500,32.0,-0.52
24101,24600,34.0,-0.24
24201,24700,34.2,-0.21
24301,24800,38.4,0.37
24401,24900,42.2,0.9
24501,25000,44.0,1.15
24601,25100,43.8,1.12
24701,25200,47.8,1.67
24801,25300,45.2,1.31
24901,25400,40.8,0.7
25001,25500,35.4,-0.05
25101,25600,36.0,0.04
25201,25700,35.2,-0.07
25301,25800,36.8,0.15
25401,25900,36.4,0.09
25501,26000,37.0,0.17
25601,26100,35.6,-0.02
25701,26200,34.0,-0.24
25801,26300,32.4,-0.46
25901,26400,31.2,-0.63
26001,26500,32.2,-0.49
26101,26600,32.2,-0.49
26201,26700,33.2,-0.35
26301,26800,33.4,-0.32
26401,26900,32.8,-0.41
26501,27000,33.0,-0.38
26601,27100,34.2,-0.21
26701,27200,32.8,-0.41
26801,27300,30.2,-0.77
