start,end,gc_content,z_score
1,500,72.8,5.2
101,600,71.6,5.02
201,700,67.4,4.38
301,800,60.4,3.3
401,900,54.6,2.41
501,1000,52.6,2.1
601,1100,46.6,1.18
701,1200,44.4,0.84
801,1300,41.4,0.38
901,1400,41.6,0.41
1001,1500,40.6,0.26
1101,1600,40.4,0.23
1201,1700,40.2,0.2
1301,1800,40.0,0.17
1401,1900,41.2,0.35
1501,2000,43.4,0.69
1601,2100,44.0,0.78
1701,2200,45.8,1.06
1801,2300,50.8,1.83
1901,2400,51.0,1.86
2001,2500,50.6,1.8
2101,2600,48.6,1.49
2201,2700,44.6,0.87
2301,2800,40.4,0.23
2401,2900,35.8,-0.48
2501,3000,32.0,-1.06
2601,3100,34.6,-0.66
2701,3200,34.0,-0.75
2801,3300,35.8,-0.48
2901,3400,38.2,-0.11
3001,3500,39.0,0.01
3101,3600,37.8,-0.17
3201,3700,38.0,-0.14
3301,3800,35.4,-0.54
3401,3900,34.0,-0.75
3501,4000,33.0,-0.91
3601,4100,32.2,-1.03
3701,4200,31.6,-1.12
3801,4300,31.6,-1.12
3901,4400,30.8,-1.24
4001,4500,32.0,-1.06
4101,4600,36.0,-0.45
4201,4700,42.8,0.6
4301,4800,43.8,0.75
4401,4900,48.8,1.52
4501,5000,52.2,2.04
4601,5100,50.2,1.73
4701,5200,43.6,0.72
4801,5300,42.4,0.54
4901,5400,36.0,-0.45
5001,5500,30.0,-1.37
5101,5600,29.0,-1.52
5201,5700,32.4,-1.0
5301,5800,34.8,-0.63
5401,5900,40.6,0.26
5501,6000,45.2,0.97
5601,6100,47.8,1.37
5701,6200,50.0,1.7
5801,6300,50.0,1.7
5901,6400,49.4,1.61
6001,6500,46.6,1.18
6101,6600,44.4,0.84
6201,6700,41.6,0.41
6301,6800,40.0,0.17
6401,6900,35.4,-0.54
6501,7000,39.6,0.11
6601,7100,42.2,0.51
6701,7200,45.0,0.94
6801,7300,44.4,0.84
6901,7400,47.8,1.37
7001,7500,43.2,0.66
7101,7600,39.4,0.08
7201,7700,36.0,-0.45
7301,7800,40.4,0.23
7401,7900,41.4,0.38
7501,8000,43.2,0.66
7601,8100,43.0,0.63
7701,8200,44.6,0.87
7801,8300,43.2,0.66
7901,8400,44.8,0.91
8001,8500,46.2,1.12
8101,8600,51.8,1.98
8201,8700,47.0,1.24
8301,8800,43.2,0.66
8401,8900,43.8,0.75
8501,9000,41.0,0.32
8601,9100,34.8,-0.63
8701,9200,35.4,-0.54
8801,9300,35.6,-0.51
8901,9400,32.0,-1.06
9001,9500,32.4,-1.0
9101,9600,35.6,-0.51
9201,9700,36.4,-0.38
9301,9800,34.8,-0.63
9401,9900,33.8,-0.78
9501,10000,32.2,-1.03
9601,10100,34.6,-0.66
9701,10200,38.4,-0.08
9801,10300,39.2,0.05
9901,10400,38.8,-0.02
10001,10500,39.0,0.01
10101,10600,31.8,-1.09
10201,10700,32.2,-1.03
10301,10800,33.6,-0.81
10401,10900,35.6,-0.51
10501,11000,33.4,-0.85
10601,11100,32.8,-0.94
10701,11200,28.0,-1.67
10801,11300,28.2,-1.64
10901,11400,26.0,-1.98
11001,11500,29.8,-1.4
11101,11600,38.6,-0.05
11201,11700,43.4,0.69
11301,11800,47.0,1.24
11401,11900,49.8,1.67
11501,12000,51.6,1.95
11601,12100,50.0,1.7
11701,12200,46.4,1.15
11801,12300,41.6,0.41
11901,12400,38.6,-0.05
12001,12500,38.0,-0.14
12101,12600,38.2,-0.11
12201,12700,43.6,0.72
12301,12800,47.4,1.3
12401,12900,51.8,1.98
12501,13000,53.4,2.23
12601,13100,49.8,1.67
12701,13200,43.6,0.72
12801,13300,41.6,0.41
12901,13400,37.6,-0.2
13001,13500,32.6,-0.97
13101,13600,34.2,-0.72
13201,13700,35.4,-0.54
13301,13800,33.2,-0.88
13401,13900,33.8,-0.78
13501,14000,32.6,-0.97
13601,14100,30.4,-1.31
13701,14200,30.4,-1.31
13801,14300,32.4,-1.0
13901,14400,36.2,-0.42
14001,14500,41.4,0.38
14101,14600,41.2,0.35
14201,14700,40.2,0.2
14301,14800,41.2,0.35
14401,14900,39.0,0.01
14501,15000,36.0,-0.45
14601,15100,39.0,0.01
14701,15200,40.4,0.23
14801,15300,38.4,-0.08
14901,15400,35.4,-0.54
15001,15500,36.0,-0.45
15101,15600,35.2,-0.57
15201,15700,36.0,-0.45
15301,15800,37.4,-0.23
15401,15900,37.6,-0.2
15501,16000,36.8,-0.32
15601,16100,34.2,-0.72
15701,16200,33.2,-0.88
15801,16300,31.8,-1.09
15901,16400,33.4,-0.85
16001,16500,34.6,-0.66
16101,16600,34.2,-0.72
16201,16700,32.2,-1.03
16301,16800,31.8,-1.09
16401,16900,26.4,-1.92
16501,17000,28.4,-1.61
16601,17100,32.4,-1.0
16701,17200,39.8,0.14
16801,17300,38.2,-0.11
16901,17400,43.6,0.72
17001,17500,42.6,0.57
17101,17600,41.2,0.35
17201,17700,38.6,-0.05
17301,17800,45.4,1.0
17401,17900,45.0,0.94
17501,18000,41.8,0.44
17601,18100,39.2,0.05
17701,18200,35.6,-0.51
17801,18300,34.6,-0.66
17901,18400,39.0,0.01
18001,18500,41.2,0.35
18101,18600,42.0,0.48
18201,18700,42.6,0.57
18301,18800,38.2,-0.11
18401,18900,32.6,-0.97
18501,19000,35.6,-0.51
18601,19100,33.8,-0.78
18701,19200,36.8,-0.32
18801,19300,41.4,0.38
18901,19400,47.4,1.3
19001,19500,44.4,0.84
19101,19600,51.6,1.95
19201,19700,50.2,1.73
19301,19800,45.4,1.0
19401,19900,40.8,0.29
19501,20000,37.2,-0.26
19601,20100,32.0,-1.06
19701,20200,30.6,-1.28
19801,20300,31.2,-1.18
19901,20400,35.2,-0.57
20001,20500,39.4,0.08
20101,20600,42.2,0.51
20201,20700,42.6,0.57
20301,20800,42.4,0.54
20401,20900,36.4,-0.38
20501,21000,35.0,-0.6
20601,21100,31.8,-1.09
20701,21200,32.4,-1.0
20801,21300,33.6,-0.81
20901,21400,34.6,-0.66
21001,21500,35.8,-0.48
21101,21600,36.0,-0.45
21201,21700,34.8,-0.63
21301,21800,35.4,-0.54
21401,21900,34.4,-0.69
21501,22000,36.2,-0.42
21601,22100,40.0,0.17
21701,22200,44.2,0.81
21801,22300,42.4,0.54
21901,22400,45.8,1.06
22001,22500,43.4,0.69
22101,22600,37.4,-0.23
22201,22700,32.0,-1.06
22301,22800,33.0,-0.91
22401,22900,32.4,-1.0
22501,23000,33.6,-0.81
22601,23100,37.8,-0.17
22701,23200,40.2,0.2
22801,23300,40.4,0.23
22901,23400,42.4,0.54
23001,23500,42.8,0.6
23101,23600,44.8,0.91
23201,23700,44.0,0.78
23301,23800,46.8,1.21
23401,23900,45.0,0.94
23501,24000,43.8,0.75
23601,24100,40.2,0.2
23701,24200,39.4,0.08
23801,24300,36.8,-0.32
23901,24400,34.4,-0.69
24001,24500,32.8,-0.94
24101,24600,32.6,-0.97
24201,24700,31.6,-1.12
24301,24800,36.8,-0.32
24401,24900,38.8,-0.02
24501,25000,39.2,0.05
24601,25100,39.2,0.05
24701,25200,40.8,0.29
24801,25300,35.0,-0.6
24901,25400,34.2,-0.72
25001,25500,34.0,-0.75
25101,25600,36.8,-0.32
25201,25700,38.6,-0.05
25301,25800,40.4,0.23
25401,25900,43.4,0.69
25501,26000,45.4,1.0
25601,26100,41.4,0.38
25701,26200,38.0,-0.14
