start,end,gc_content,z_score
1,500,43.8,-1.47
101,600,45.2,-1.25
201,700,51.4,-0.3
301,800,55.2,0.28
401,900,57.2,0.59
501,1000,55.8,0.37
601,1100,58.0,0.71
701,1200,58.2,0.74
801,1300,61.0,1.17
901,1400,66.4,2.0
1001,1500,70.6,2.64
1101,1600,67.2,2.12
1201,1700,62.6,1.41
1301,1800,59.8,0.99
1401,1900,57.0,0.56
1501,2000,55.6,0.34
1601,2100,54.6,0.19
1701,2200,54.0,0.1
1801,2300,54.2,0.13
1901,2400,54.6,0.19
2001,2500,55.2,0.28
2101,2600,52.8,-0.09
2201,2700,51.6,-0.27
2301,2800,47.6,-0.88
2401,2900,45.0,-1.28
2501,3000,41.6,-1.8
2601,3100,44.8,-1.31
2701,3200,48.0,-0.82
2801,3300,50.8,-0.39
2901,3400,52.2,-0.18
3001,3500,56.0,0.4
3101,3600,55.8,0.37
3201,3700,56.0,0.4
3301,3800,55.8,0.37
3401,3900,57.0,0.56
3501,4000,56.6,0.49
3601,4100,56.6,0.49
3701,4200,54.0,0.1
3801,4300,52.6,-0.12
3901,4400,49.8,-0.55
4001,4500,46.2,-1.1
4101,4600,43.0,-1.59
4201,4700,43.8,-1.47
4301,4800,45.8,-1.16
4401,4900,47.4,-0.91
4501,5000,46.6,-1.04
