start,end,gc_content,z_score
1,500,52.4,1.64
101,600,49.8,1.22
201,700,51.2,1.44
301,800,50.4,1.32
401,900,49.2,1.12
501,1000,47.6,0.87
601,1100,49.2,1.12
701,1200,49.8,1.22
801,1300,51.0,1.41
901,1400,51.0,1.41
1001,1500,51.2,1.44
1101,1600,47.8,0.9
1201,1700,43.6,0.23
1301,1800,38.4,-0.61
1401,1900,38.2,-0.64
1501,2000,35.4,-1.09
1601,2100,36.2,-0.96
1701,2200,34.6,-1.21
1801,2300,35.4,-1.09
1901,2400,32.6,-1.54
2001,2500,32.8,-1.5
2101,2600,33.2,-1.44
2201,2700,37.2,-0.8
2301,2800,37.6,-0.73
2401,2900,38.4,-0.61
2501,3000,39.4,-0.45
2601,3100,39.2,-0.48
2701,3200,39.0,-0.51
2801,3300,37.6,-0.73
2901,3400,37.4,-0.77
3001,3500,36.8,-0.86
3101,3600,35.6,-1.05
3201,3700,34.2,-1.28
3301,3800,36.4,-0.93
3401,3900,41.2,-0.16
3501,4000,44.8,0.42
3601,4100,47.0,0.77
3701,4200,45.0,0.45
3801,4300,44.6,0.39
3901,4400,42.4,0.03
4001,4500,41.8,-0.06
4101,4600,42.0,-0.03
4201,4700,49.4,1.16
4301,4800,48.2,0.96
