start,end,gc_content,z_score
1,500,72.4,2.25
101,600,74.6,2.56
201,700,76.6,2.83
301,800,78.0,3.03
401,900,74.4,2.53
501,1000,72.4,2.25
601,1100,68.2,1.68
701,1200,60.2,0.57
801,1300,56.4,0.05
901,1400,54.0,-0.28
1001,1500,54.4,-0.23
1101,1600,52.6,-0.48
1201,1700,56.0,-0.01
1301,1800,54.4,-0.23
1401,1900,54.8,-0.17
1501,2000,53.6,-0.34
1601,2100,55.0,-0.14
1701,2200,52.0,-0.56
1801,2300,50.6,-0.75
1901,2400,49.8,-0.86
2001,2500,51.6,-0.61
2101,2600,48.6,-1.03
2201,2700,49.6,-0.89
2301,2800,49.8,-0.86
2401,2900,52.0,-0.56
2501,3000,52.2,-0.53
2601,3100,54.8,-0.17
2701,3200,56.0,-0.01
2801,3300,57.4,0.19
2901,3400,56.2,0.02
3001,3500,53.8,-0.31
3101,3600,52.8,-0.45
3201,3700,51.6,-0.61
3301,3800,51.4,-0.64
3401,3900,49.8,-0.86
3501,4000,48.8,-1.0
3601,4100,48.6,-1.03
3701,4200,49.0,-0.97
3801,4300,49.0,-0.97
3901,4400,50.4,-0.78
4001,4500,52.2,-0.53
4101,4600,54.4,-0.23
4201,4700,56.2,0.02
4301,4800,57.4,0.19
4401,4900,58.0,0.27
4501,5000,59.0,0.41
4601,5100,59.2,0.43
4701,5200,58.8,0.38
4801,5300,59.0,0.41
4901,5400,60.4,0.6
5001,5500,58.4,0.32
5101,5600,58.6,0.35
5201,5700,60.8,0.66
5301,5800,60.2,0.57
5401,5900,58.8,0.38
5501,6000,58.4,0.32
5601,6100,57.6,0.21
5701,6200,56.6,0.08
5801,6300,57.0,0.13
5901,6400,58.0,0.27
6001,6500,56.6,0.08
6101,6600,57.2,0.16
6201,6700,57.2,0.16
6301,6800,58.0,0.27
6401,6900,56.8,0.1
6501,7000,57.0,0.13
6601,7100,54.0,-0.28
6701,7200,52.2,-0.53
6801,7300,50.8,-0.72
6901,7400,50.6,-0.75
7001,7500,53.0,-0.42
7101,7600,53.8,-0.31
7201,7700,53.6,-0.34
7301,7800,54.8,-0.17
7401,7900,52.6,-0.48
7501,8000,51.8,-0.59
7601,8100,51.6,-0.61
7701,8200,51.8,-0.59
7801,8300,49.2,-0.94
7901,8400,50.0,-0.83
8001,8500,49.6,-0.89
8101,8600,46.4,-1.33
8201,8700,44.4,-1.61
8301,8800,45.2,-1.5
8401,8900,46.2,-1.36
8501,9000,45.2,-1.5
8601,9100,45.8,-1.41
8701,9200,41.2,-2.05
8801,9300,39.8,-2.24
8901,9400,39.8,-2.24
9001,9500,40.8,-2.1
9101,9600,41.4,-2.02
9201,9700,48.0,-1.11
9301,9800,50.0,-0.83
9401,9900,49.4,-0.92
9501,10000,48.8,-1.0
9601,10100,53.0,-0.42
9701,10200,51.6,-0.61
9801,10300,50.6,-0.75
9901,10400,52.0,-0.56
10001,10500,53.0,-0.42
10101,10600,51.0,-0.7
10201,10700,47.0,-1.25
10301,10800,47.0,-1.25
10401,10900,46.0,-1.39
10501,11000,45.2,-1.5
10601,11100,43.8,-1.69
10701,11200,47.0,-1.25
10801,11300,48.8,-1.0
10901,11400,49.8,-0.86
11001,11500,52.4,-0.5
11101,11600,56.2,0.02
11201,11700,60.2,0.57
11301,11800,62.8,0.93
11401,11900,62.4,0.88
11501,12000,60.8,0.66
11601,12100,61.0,0.68
11701,12200,60.4,0.6
11801,12300,58.0,0.27
11901,12400,59.8,0.52
12001,12500,62.2,0.85
12101,12600,63.0,0.96
12201,12700,63.6,1.04
12301,12800,63.2,0.99
12401,12900,64.6,1.18
12501,13000,64.2,1.12
12601,13100,62.8,0.93
12701,13200,62.8,0.93
12801,13300,65.2,1.26
12901,13400,63.6,1.04
13001,13500,61.8,0.79
13101,13600,62.2,0.85
13201,13700,60.6,0.63
13301,13800,57.0,0.13
13401,13900,57.0,0.13
13501,14000,57.2,0.16
13601,14100,58.0,0.27
13701,14200,58.8,0.38
13801,14300,61.2,0.71
13901,14400,62.0,0.82
14001,14500,61.0,0.68
14101,14600,61.8,0.79
14201,14700,62.0,0.82
14301,14800,63.0,0.96
14401,14900,62.2,0.85
14501,15000,63.2,0.99
14601,15100,62.2,0.85
14701,15200,62.8,0.93
14801,15300,63.0,0.96
14901,15400,62.0,0.82
15001,15500,64.6,1.18
15101,15600,64.0,1.1
15201,15700,66.0,1.37
15301,15800,65.8,1.34
15401,15900,66.2,1.4
15501,16000,65.8,1.34
15601,16100,65.8,1.34
