start,end,gc_content,z_score
1,500,75.6,2.98
101,600,71.8,2.53
201,700,62.2,1.41
301,800,55.2,0.6
401,900,49.0,-0.13
501,1000,43.4,-0.78
601,1100,39.4,-1.25
701,1200,41.4,-1.01
801,1300,41.0,-1.06
901,1400,43.8,-0.73
1001,1500,44.6,-0.64
1101,1600,52.2,0.25
1201,1700,53.8,0.43
1301,1800,56.6,0.76
1401,1900,56.4,0.74
1501,2000,56.4,0.74
1601,2100,51.2,0.13
1701,2200,47.0,-0.36
1801,2300,42.6,-0.87
1901,2400,41.4,-1.01
2001,2500,40.6,-1.11
2101,2600,40.6,-1.11
2201,2700,44.2,-0.69
2301,2800,47.8,-0.27
2401,2900,50.2,0.01
2501,3000,50.4,0.04
2601,3100,51.0,0.11
2701,3200,50.8,0.08
2801,3300,52.6,0.29
2901,3400,53.6,0.41
3001,3500,54.4,0.5
3101,3600,56.4,0.74
3201,3700,58.6,0.99
3301,3800,57.8,0.9
3401,3900,50.8,0.08
3501,4000,49.8,-0.03
3601,4100,45.6,-0.52
3701,4200,39.6,-1.22
3801,4300,33.8,-1.9
