start,end,gc_content,z_score
1,500,59.8,3.77
101,600,53.4,2.34
201,700,47.6,1.04
301,800,48.2,1.17
401,900,46.8,0.86
501,1000,47.6,1.04
601,1100,50.2,1.62
701,1200,50.0,1.57
801,1300,47.2,0.95
901,1400,47.2,0.95
1001,1500,49.2,1.4
1101,1600,46.2,0.72
1201,1700,44.0,0.23
1301,1800,41.2,-0.4
1401,1900,40.6,-0.53
1501,2000,36.6,-1.42
1601,2100,34.2,-1.96
1701,2200,35.2,-1.74
1801,2300,37.0,-1.34
1901,2400,40.4,-0.57
2001,2500,39.4,-0.8
2101,2600,44.4,0.32
2201,2700,45.6,0.59
2301,2800,46.0,0.68
2401,2900,44.0,0.23
2501,3000,45.0,0.46
2601,3100,43.0,0.01
2701,3200,40.8,-0.48
2801,3300,37.8,-1.16
2901,3400,36.2,-1.51
3001,3500,38.4,-1.02
3101,3600,39.2,-0.84
3201,3700,42.4,-0.13
3301,3800,42.2,-0.17
3401,3900,41.8,-0.26
3501,4000,40.6,-0.53
3601,4100,40.0,-0.66
3701,4200,40.0,-0.66
3801,4300,45.0,0.46
3901,4400,45.2,0.5
4001,4500,45.0,0.46
4101,4600,46.6,0.81
4201,4700,44.8,0.41
4301,4800,41.6,-0.31
4401,4900,41.0,-0.44
4501,5000,40.4,-0.57
4601,5100,37.0,-1.34
4701,5200,40.2,-0.62
4801,5300,41.6,-0.31
4901,5400,44.4,0.32
5001,5500,46.0,0.68
5101,5600,49.4,1.44
5201,5700,48.6,1.26
5301,5800,46.2,0.72
5401,5900,44.6,0.37
5501,6000,44.2,0.28
5601,6100,40.6,-0.53
5701,6200,36.8,-1.38
5801,6300,38.2,-1.07
5901,6400,38.4,-1.02
6001,6500,39.4,-0.8
6101,6600,39.0,-0.89
6201,6700,39.6,-0.75
6301,6800,39.2,-0.84
6401,6900,36.2,-1.51
6501,7000,33.2,-2.19
6601,7100,34.8,-1.83
6701,7200,36.0,-1.56
6801,7300,36.4,-1.47
6901,7400,41.6,-0.31
7001,7500,46.2,0.72
7101,7600,48.6,1.26
7201,7700,49.0,1.35
7301,7800,51.0,1.8
7401,7900,47.4,0.99
7501,8000,47.4,0.99
7601,8100,48.0,1.13
7701,8200,46.0,0.68
7801,8300,43.8,0.19
7901,8400,47.2,0.95
8001,8500,43.6,0.14
8101,8600,40.8,-0.48
8201,8700,42.0,-0.22
8301,8800,42.8,-0.04
8401,8900,41.2,-0.4
8501,9000,42.2,-0.17
8601,9100,43.2,0.05
8701,9200,44.6,0.37
8801,9300,44.6,0.37
8901,9400,45.2,0.5
9001,9500,45.4,0.54
9101,9600,46.6,0.81
9201,9700,45.0,0.46
9301,9800,43.4,0.1
9401,9900,41.4,-0.35
9501,10000,41.2,-0.4
9601,10100,36.4,-1.47
9701,10200,39.4,-0.8
9801,10300,41.4,-0.35
9901,10400,44.8,0.41
10001,10500,42.8,-0.04
10101,10600,44.0,0.23
10201,10700,41.2,-0.4
10301,10800,40.0,-0.66
