start,end,gc_content,z_score
1,500,55.8,0.5
101,600,52.8,-0.16
201,700,53.6,0.01
301,800,54.2,0.15
401,900,52.6,-0.21
501,1000,50.2,-0.74
601,1100,46.4,-1.57
701,1200,46.2,-1.62
801,1300,46.2,-1.62
901,1400,48.0,-1.22
1001,1500,50.2,-0.74
1101,1600,49.4,-0.91
1201,1700,50.0,-0.78
1301,1800,49.4,-0.91
1401,1900,47.0,-1.44
1501,2000,45.0,-1.88
1601,2100,48.4,-1.13
1701,2200,48.6,-1.09
1801,2300,51.4,-0.47
1901,2400,53.0,-0.12
2001,2500,55.8,0.5
2101,2600,56.6,0.67
2201,2700,55.6,0.45
2301,2800,54.8,0.28
2401,2900,55.6,0.45
2501,3000,58.0,0.98
2601,3100,58.8,1.16
2701,3200,61.2,1.69
2801,3300,62.2,1.91
2901,3400,61.2,1.69
3001,3500,58.4,1.07
3101,3600,58.0,0.98
3201,3700,56.6,0.67
3301,3800,54.6,0.23
3401,3900,56.6,0.67
3501,4000,58.0,0.98
3601,4100,58.0,0.98
3701,4200,57.2,0.81
3801,4300,57.6,0.89
3901,4400,55.8,0.5
4001,4500,53.0,-0.12
4101,4600,51.0,-0.56
4201,4700,49.2,-0.96
