start,end,gc_content,z_score
1,500,73.8,6.01
101,600,72.6,5.81
201,700,66.4,4.82
301,800,65.2,4.63
401,900,63.4,4.34
501,1000,58.2,3.51
601,1100,53.2,2.72
701,1200,46.8,1.69
801,1300,41.4,0.83
901,1400,37.2,0.16
1001,1500,35.2,-0.16
1101,1600,34.2,-0.32
1201,1700,34.4,-0.29
1301,1800,34.2,-0.32
1401,1900,33.6,-0.42
1501,2000,34.2,-0.32
1601,2100,34.2,-0.32
1701,2200,35.6,-0.1
1801,2300,35.0,-0.19
1901,2400,35.4,-0.13
2001,2500,35.0,-0.19
2101,2600,33.0,-0.51
2201,2700,32.2,-0.64
2301,2800,31.6,-0.74
2401,2900,32.0,-0.67
2501,3000,32.0,-0.67
2601,3100,32.2,-0.64
2701,3200,31.6,-0.74
2801,3300,31.4,-0.77
2901,3400,30.0,-0.99
3001,3500,29.6,-1.05
3101,3600,30.8,-0.86
3201,3700,31.2,-0.8
3301,3800,32.6,-0.58
3401,3900,35.0,-0.19
3501,4000,36.6,0.06
3601,4100,35.4,-0.13
3701,4200,36.0,-0.03
3801,4300,34.8,-0.22
3901,4400,33.0,-0.51
4001,4500,32.6,-0.58
4101,4600,35.4,-0.13
4201,4700,35.2,-0.16
4301,4800,35.2,-0.16
4401,4900,38.0,0.29
4501,5000,40.6,0.7
4601,5100,42.6,1.02
4701,5200,43.2,1.12
4801,5300,45.2,1.44
4901,5400,45.2,1.44
5001,5500,41.6,0.86
5101,5600,37.4,0.19
5201,5700,34.4,-0.29
5301,5800,32.2,-0.64
5401,5900,32.2,-0.64
5501,6000,34.0,-0.35
5601,6100,36.0,-0.03
5701,6200,40.8,0.73
5801,6300,45.0,1.41
5901,6400,44.4,1.31
6001,6500,42.2,0.96
6101,6600,42.4,0.99
6201,6700,40.0,0.61
6301,6800,35.2,-0.16
6401,6900,33.8,-0.38
6501,7000,34.8,-0.22
6601,7100,33.8,-0.38
6701,7200,32.4,-0.61
6801,7300,34.8,-0.22
6901,7400,36.2,-0.0
7001,7500,37.4,0.19
7101,7600,35.8,-0.06
7201,7700,36.6,0.06
7301,7800,36.0,-0.03
7401,7900,35.0,-0.19
7501,8000,32.2,-0.64
7601,8100,32.6,-0.58
7701,8200,33.8,-0.38
7801,8300,32.4,-0.61
7901,8400,32.8,-0.54
8001,8500,37.0,0.13
8101,8600,38.8,0.41
8201,8700,39.6,0.54
8301,8800,41.2,0.8
8401,8900,42.0,0.93
8501,9000,41.0,0.77
8601,9100,42.0,0.93
8701,9200,41.6,0.86
8801,9300,40.2,0.64
8901,9400,37.4,0.19
9001,9500,35.0,-0.19
9101,9600,30.2,-0.96
9201,9700,28.4,-1.25
9301,9800,29.4,-1.09
9401,9900,30.2,-0.96
9501,10000,28.8,-1.18
9601,10100,30.0,-0.99
9701,10200,30.0,-0.99
9801,10300,30.4,-0.93
9901,10400,30.0,-0.99
10001,10500,30.8,-0.86
10101,10600,30.8,-0.86
10201,10700,30.8,-0.86
10301,10800,30.4,-0.93
10401,10900,30.4,-0.93
10501,11000,33.0,-0.51
10601,11100,32.2,-0.64
10701,11200,33.2,-0.48
10801,11300,34.2,-0.32
10901,11400,35.0,-0.19
11001,11500,34.4,-0.29
11101,11600,36.0,-0.03
11201,11700,33.8,-0.38
11301,11800,32.0,-0.67
11401,11900,32.4,-0.61
11501,12000,32.2,-0.64
11601,12100,33.2,-0.48
11701,12200,32.8,-0.54
11801,12300,31.6,-0.74
11901,12400,30.8,-0.86
12001,12500,31.0,-0.83
12101,12600,29.4,-1.09
12201,12700,34.0,-0.35
12301,12800,37.0,0.13
12401,12900,42.0,0.93
12501,13000,38.2,0.32
12601,13100,42.4,0.99
12701,13200,42.0,0.93
12801,13300,40.0,0.61
12901,13400,34.2,-0.32
13001,13500,39.0,0.45
13101,13600,35.6,-0.1
13201,13700,34.4,-0.29
13301,13800,35.0,-0.19
13401,13900,35.4,-0.13
13501,14000,35.0,-0.19
13601,14100,33.8,-0.38
13701,14200,31.2,-0.8
13801,14300,33.0,-0.51
13901,14400,34.0,-0.35
14001,14500,32.0,-0.67
14101,14600,33.8,-0.38
14201,14700,40.8,0.73
14301,14800,42.0,0.93
14401,14900,45.8,1.53
14501,15000,46.6,1.66
14601,15100,48.2,1.92
14701,15200,43.6,1.18
14801,15300,43.2,1.12
14901,15400,41.8,0.89
15001,15500,43.2,1.12
15101,15600,42.6,1.02
15201,15700,43.0,1.09
15301,15800,41.6,0.86
15401,15900,41.6,0.86
15501,16000,42.4,0.99
15601,16100,40.0,0.61
15701,16200,39.0,0.45
15801,16300,39.0,0.45
15901,16400,35.4,-0.13
16001,16500,33.8,-0.38
16101,16600,32.8,-0.54
16201,16700,31.2,-0.8
16301,16800,28.8,-1.18
16401,16900,31.0,-0.83
16501,17000,28.2,-1.28
16601,17100,30.8,-0.86
16701,17200,31.4,-0.77
16801,17300,31.6,-0.74
16901,17400,29.2,-1.12
17001,17500,31.0,-0.83
17101,17600,31.4,-0.77
17201,17700,32.0,-0.67
17301,17800,33.0,-0.51
17401,17900,35.0,-0.19
17501,18000,33.6,-0.42
17601,18100,32.6,-0.58
17701,18200,31.8,-0.7
17801,18300,33.6,-0.42
17901,18400,34.4,-0.29
18001,18500,36.0,-0.03
18101,18600,35.6,-0.1
18201,18700,34.8,-0.22
18301,18800,33.8,-0.38
18401,18900,30.8,-0.86
18501,19000,31.2,-0.8
18601,19100,31.6,-0.74
18701,19200,34.6,-0.26
18801,19300,35.4,-0.13
18901,19400,35.4,-0.13
19001,19500,33.8,-0.38
19101,19600,32.8,-0.54
19201,19700,31.2,-0.8
19301,19800,29.8,-1.02
19401,19900,31.8,-0.7
19501,20000,32.2,-0.64
19601,20100,31.4,-0.77
19701,20200,32.2,-0.64
19801,20300,32.0,-0.67
19901,20400,30.0,-0.99
20001,20500,31.6,-0.74
20101,20600,34.8,-0.22
20201,20700,35.2,-0.16
20301,20800,35.6,-0.1
20401,20900,37.0,0.13
20501,21000,33.8,-0.38
20601,21100,34.2,-0.32
20701,21200,37.8,0.26
20801,21300,36.8,0.1
20901,21400,36.0,-0.03
21001,21500,37.2,0.16
21101,21600,35.0,-0.19
21201,21700,31.4,-0.77
21301,21800,31.0,-0.83
21401,21900,30.8,-0.86
21501,22000,31.8,-0.7
21601,22100,32.2,-0.64
21701,22200,31.6,-0.74
21801,22300,31.4,-0.77
21901,22400,33.6,-0.42
22001,22500,35.0,-0.19
22101,22600,35.8,-0.06
22201,22700,34.8,-0.22
22301,22800,36.6,0.06
22401,22900,36.2,-0.0
22501,23000,35.0,-0.19
22601,23100,33.4,-0.45
22701,23200,32.0,-0.67
22801,23300,32.4,-0.61
22901,23400,33.8,-0.38
23001,23500,34.2,-0.32
23101,23600,37.2,0.16
23201,23700,40.8,0.73
23301,23800,39.4,0.51
23401,23900,36.0,-0.03
23501,24000,35.2,-0.16
23601,24100,32.6,-0.58
23701,24200,30.8,-0.86
23801,24300,31.0,-0.83
23901,24400,32.2,-0.64
24001,24500,31.2,-0.8
24101,24600,30.8,-0.86
24201,24700,33.2,-0.48
24301,24800,32.4,-0.61
24401,24900,32.8,-0.54
24501,25000,32.4,-0.61
24601,25100,32.4,-0.61
24701,25200,31.0,-0.83
24801,25300,32.8,-0.54
24901,25400,31.6,-0.74
25001,25500,30.6,-0.9
25101,25600,31.2,-0.8
25201,25700,31.4,-0.77
25301,25800,29.8,-1.02
25401,25900,29.6,-1.05
25501,26000,33.2,-0.48
25601,26100,32.6,-0.58
25701,26200,33.6,-0.42
25801,26300,35.6,-0.1
25901,26400,38.4,0.35
26001,26500,38.4,0.35
26101,26600,40.4,0.67
26201,26700,41.4,0.83
26301,26800,42.4,0.99
26401,26900,41.6,0.86
26501,27000,41.8,0.89
26601,27100,41.8,0.89
26701,27200,39.8,0.57
26801,27300,37.0,0.13
26901,27400,35.8,-0.06
27001,27500,33.6,-0.42
27101,27600,31.4,-0.77
27201,27700,30.0,-0.99
27301,27800,36.6,0.06
27401,27900,40.0,0.61
27501,28000,43.6,1.18
27601,28100,47.6,1.82
27701,28200,54.8,2.97
27801,28300,49.2,2.08
27901,28400,44.2,1.28
28001,28500,40.8,0.73
28101,28600,37.2,0.16
28201,28700,30.8,-0.86
28301,28800,29.8,-1.02
28401,28900,31.8,-0.7
28501,29000,30.8,-0.86
28601,29100,31.4,-0.77
28701,29200,30.0,-0.99
28801,29300,31.4,-0.77
28901,29400,33.2,-0.48
29001,29500,34.2,-0.32
29101,29600,31.8,-0.7
29201,29700,33.2,-0.48
29301,29800,32.8,-0.54
29401,29900,31.2,-0.8
29501,30000,34.4,-0.29
29601,30100,38.4,0.35
29701,30200,39.8,0.57
29801,30300,41.2,0.8
29901,30400,42.0,0.93
30001,30500,41.8,0.89
30101,30600,40.2,0.64
30201,30700,38.8,0.41
30301,30800,35.4,-0.13
30401,30900,33.2,-0.48
30501,31000,30.0,-0.99
30601,31100,28.4,-1.25
30701,31200,26.2,-1.6
30801,31300,29.2,-1.12
30901,31400,33.2,-0.48
31001,31500,33.8,-0.38
31101,31600,37.0,0.13
31201,31700,40.6,0.7
31301,31800,40.8,0.73
31401,31900,40.8,0.73
31501,32000,44.0,1.25
31601,32100,42.4,0.99
31701,32200,43.2,1.12
31801,32300,44.8,1.37
31901,32400,42.2,0.96
32001,32500,43.6,1.18
32101,32600,44.4,1.31
32201,32700,43.2,1.12
32301,32800,38.0,0.29
32401,32900,38.4,0.35
32501,33000,33.8,-0.38
32601,33100,38.0,0.29
32701,33200,38.6,0.38
32801,33300,42.2,0.96
32901,33400,42.2,0.96
33001,33500,43.2,1.12
33101,33600,38.2,0.32
33201,33700,38.6,0.38
33301,33800,35.4,-0.13
33401,33900,33.4,-0.45
33501,34000,32.8,-0.54
33601,34100,37.2,0.16
33701,34200,38.2,0.32
33801,34300,44.2,1.28
33901,34400,46.8,1.69
34001,34500,47.6,1.82
34101,34600,44.4,1.31
34201,34700,42.2,0.96
34301,34800,39.2,0.48
34401,34900,37.8,0.26
34501,35000,37.8,0.26
34601,35100,35.8,-0.06
34701,35200,33.6,-0.42
34801,35300,37.8,0.26
34901,35400,40.4,0.67
35001,35500,43.0,1.09
35101,35600,48.4,1.95
35201,35700,53.4,2.75
35301,35800,53.0,2.68
35401,35900,49.6,2.14
35501,36000,46.4,1.63
35601,36100,41.0,0.77
35701,36200,37.4,0.19
35801,36300,32.4,-0.61
35901,36400,33.0,-0.51
36001,36500,32.4,-0.61
36101,36600,33.0,-0.51
36201,36700,32.6,-0.58
36301,36800,33.0,-0.51
36401,36900,36.2,-0.0
36501,37000,36.6,0.06
36601,37100,36.4,0.03
36701,37200,36.2,-0.0
36801,37300,35.2,-0.16
36901,37400,32.2,-0.64
37001,37500,32.6,-0.58
37101,37600,32.6,-0.58
37201,37700,32.4,-0.61
37301,37800,33.0,-0.51
37401,37900,33.6,-0.42
37501,38000,32.8,-0.54
37601,38100,32.0,-0.67
37701,38200,30.6,-0.9
37801,38300,31.4,-0.77
37901,38400,30.2,-0.96
38001,38500,28.6,-1.21
38101,38600,30.2,-0.96
38201,38700,31.6,-0.74
38301,38800,29.8,-1.02
38401,38900,30.2,-0.96
38501,39000,32.4,-0.61
38601,39100,31.0,-0.83
38701,39200,29.4,-1.09
