start,end,gc_content,z_score
1,500,50.2,2.3
101,600,45.6,1.33
201,700,42.8,0.74
301,800,42.2,0.62
401,900,42.6,0.7
501,1000,41.6,0.49
601,1100,39.0,-0.06
701,1200,39.0,-0.06
801,1300,39.0,-0.06
901,1400,37.6,-0.35
1001,1500,38.6,-0.14
1101,1600,38.2,-0.22
1201,1700,36.0,-0.69
1301,1800,33.6,-1.19
1401,1900,31.0,-1.74
1501,2000,29.2,-2.12
1601,2100,30.6,-1.82
1701,2200,32.0,-1.53
1801,2300,33.0,-1.32
1901,2400,35.0,-0.9
2001,2500,38.6,-0.14
2101,2600,39.8,0.11
2201,2700,40.0,0.15
2301,2800,39.6,0.07
2401,2900,39.6,0.07
2501,3000,35.4,-0.81
2601,3100,36.4,-0.6
2701,3200,33.4,-1.23
2801,3300,35.4,-0.81
2901,3400,39.6,0.07
3001,3500,44.0,1.0
3101,3600,42.8,0.74
3201,3700,45.0,1.21
3301,3800,43.0,0.78
3401,3900,39.4,0.03
3501,4000,41.2,0.41
3601,4100,42.8,0.74
3701,4200,46.2,1.46
3801,4300,48.0,1.84
3901,4400,48.0,1.84
4001,4500,43.2,0.83
4101,4600,40.8,0.32
4201,4700,38.4,-0.18
4301,4800,36.6,-0.56
4401,4900,36.6,-0.56
4501,5000,35.6,-0.77
