start,end,gc_content,z_score
1,500,50.0,1.34
101,600,45.4,0.47
201,700,45.0,0.4
301,800,46.0,0.59
401,900,48.2,1.0
501,1000,49.2,1.19
601,1100,49.2,1.19
701,1200,51.0,1.53
801,1300,50.6,1.46
901,1400,49.4,1.23
1001,1500,50.0,1.34
1101,1600,49.2,1.19
1201,1700,45.0,0.4
1301,1800,41.4,-0.29
1401,1900,38.8,-0.78
1501,2000,36.2,-1.27
1601,2100,36.0,-1.31
1701,2200,37.0,-1.12
1801,2300,39.6,-0.63
1901,2400,38.6,-0.82
2001,2500,37.4,-1.05
2101,2600,37.4,-1.05
2201,2700,36.2,-1.27
2301,2800,35.2,-1.46
2401,2900,37.6,-1.01
2501,3000,41.8,-0.21
2601,3100,42.0,-0.17
2701,3200,44.0,0.21
2801,3300,42.8,-0.02
2901,3400,41.8,-0.21
3001,3500,38.4,-0.86
