start,end,gc_content,z_score
1,500,63.8,2.28
101,600,65.8,2.48
201,700,73.6,3.26
301,800,74.4,3.34
401,900,72.6,3.16
501,1000,73.0,3.2
601,1100,69.4,2.84
701,1200,69.0,2.8
801,1300,68.2,2.72
901,1400,68.2,2.72
1001,1500,69.8,2.88
1101,1600,73.0,3.2
1201,1700,72.2,3.12
1301,1800,74.0,3.3
1401,1900,74.8,3.38
1501,2000,76.0,3.5
1601,2100,77.8,3.67
1701,2200,79.0,3.79
1801,2300,76.2,3.52
1901,2400,74.4,3.34
2001,2500,71.0,3.0
2101,2600,68.2,2.72
2201,2700,66.4,2.54
2301,2800,68.4,2.74
2401,2900,68.6,2.76
2501,3000,66.4,2.54
2601,3100,63.0,2.2
2701,3200,55.4,1.45
2801,3300,48.2,0.74
2901,3400,43.4,0.26
3001,3500,41.0,0.02
3101,3600,38.4,-0.24
3201,3700,39.4,-0.14
3301,3800,38.4,-0.24
3401,3900,37.8,-0.3
3501,4000,37.4,-0.34
3601,4100,35.0,-0.58
3701,4200,34.4,-0.64
3801,4300,34.8,-0.6
3901,4400,34.4,-0.64
4001,4500,33.6,-0.71
4101,4600,38.0,-0.28
4201,4700,39.0,-0.18
4301,4800,40.6,-0.02
4401,4900,40.6,-0.02
4501,5000,39.2,-0.16
4601,5100,33.0,-0.77
4701,5200,30.6,-1.01
4801,5300,30.4,-1.03
4901,5400,29.8,-1.09
5001,5500,30.0,-1.07
5101,5600,33.4,-0.73
5201,5700,35.0,-0.58
5301,5800,34.0,-0.68
5401,5900,32.8,-0.79
5501,6000,34.6,-0.62
5601,6100,33.2,-0.75
5701,6200,35.0,-0.58
5801,6300,38.8,-0.2
5901,6400,45.2,0.44
6001,6500,42.4,0.16
6101,6600,43.2,0.24
6201,6700,39.4,-0.14
6301,6800,36.0,-0.48
6401,6900,33.2,-0.75
6501,7000,38.8,-0.2
6601,7100,43.6,0.28
6701,7200,46.6,0.58
6801,7300,46.4,0.56
6901,7400,43.6,0.28
7001,7500,40.4,-0.04
7101,7600,36.4,-0.44
7201,7700,35.0,-0.58
7301,7800,31.4,-0.93
7401,7900,30.4,-1.03
7501,8000,29.2,-1.15
7601,8100,27.8,-1.29
7701,8200,29.0,-1.17
7801,8300,32.8,-0.79
7901,8400,36.2,-0.46
8001,8500,37.8,-0.3
8101,8600,40.2,-0.06
8201,8700,39.8,-0.1
8301,8800,40.0,-0.08
8401,8900,38.8,-0.2
8501,9000,37.4,-0.34
8601,9100,37.4,-0.34
8701,9200,36.0,-0.48
8801,9300,34.2,-0.66
8901,9400,32.6,-0.81
9001,9500,38.8,-0.2
9101,9600,40.4,-0.04
9201,9700,45.8,0.5
9301,9800,46.0,0.52
9401,9900,48.0,0.72
9501,10000,41.4,0.06
9601,10100,36.4,-0.44
9701,10200,32.2,-0.85
9801,10300,33.6,-0.71
9901,10400,33.0,-0.77
10001,10500,33.4,-0.73
10101,10600,34.8,-0.6
10201,10700,35.0,-0.58
10301,10800,35.0,-0.58
10401,10900,34.4,-0.64
10501,11000,34.8,-0.6
10601,11100,35.0,-0.58
10701,11200,33.8,-0.69
10801,11300,33.4,-0.73
10901,11400,33.8,-0.69
11001,11500,34.8,-0.6
11101,11600,32.6,-0.81
11201,11700,37.4,-0.34
11301,11800,41.4,0.06
11401,11900,45.8,0.5
11501,12000,45.0,0.42
11601,12100,47.0,0.62
11701,12200,41.8,0.1
11801,12300,38.2,-0.26
11901,12400,34.6,-0.62
12001,12500,34.4,-0.64
12101,12600,35.0,-0.58
12201,12700,36.4,-0.44
12301,12800,34.2,-0.66
12401,12900,33.0,-0.77
12501,13000,33.8,-0.69
12601,13100,34.4,-0.64
12701,13200,36.4,-0.44
12801,13300,36.8,-0.4
12901,13400,41.6,0.08
13001,13500,47.0,0.62
13101,13600,49.4,0.85
13201,13700,47.2,0.64
13301,13800,50.4,0.95
13401,13900,49.6,0.87
13501,14000,48.2,0.74
13601,14100,45.8,0.5
13701,14200,45.0,0.42
13801,14300,43.0,0.22
13901,14400,40.2,-0.06
14001,14500,34.6,-0.62
14101,14600,33.8,-0.69
14201,14700,35.6,-0.52
14301,14800,35.0,-0.58
14401,14900,32.8,-0.79
14501,15000,32.0,-0.87
14601,15100,32.4,-0.83
14701,15200,30.8,-0.99
14801,15300,32.2,-0.85
14901,15400,39.0,-0.18
15001,15500,44.2,0.34
15101,15600,46.2,0.54
15201,15700,47.2,0.64
15301,15800,47.8,0.7
15401,15900,42.8,0.2
15501,16000,39.8,-0.1
15601,16100,35.6,-0.52
15701,16200,32.0,-0.87
15801,16300,29.0,-1.17
15901,16400,27.0,-1.37
16001,16500,26.8,-1.39
16101,16600,29.6,-1.11
16201,16700,37.0,-0.38
16301,16800,41.6,0.08
16401,16900,46.6,0.58
16501,17000,47.8,0.7
16601,17100,46.8,0.6
16701,17200,41.8,0.1
16801,17300,39.4,-0.14
16901,17400,37.0,-0.38
17001,17500,35.0,-0.58
17101,17600,35.8,-0.5
17201,17700,37.2,-0.36
17301,17800,38.4,-0.24
17401,17900,37.2,-0.36
17501,18000,37.2,-0.36
17601,18100,34.4,-0.64
17701,18200,32.6,-0.81
17801,18300,32.8,-0.79
17901,18400,35.8,-0.5
18001,18500,37.4,-0.34
18101,18600,40.4,-0.04
18201,18700,39.8,-0.1
18301,18800,42.2,0.14
18401,18900,42.6,0.18
18501,19000,45.2,0.44
18601,19100,45.8,0.5
18701,19200,50.0,0.91
18801,19300,47.6,0.68
18901,19400,47.4,0.66
19001,19500,48.2,0.74
19101,19600,49.0,0.81
19201,19700,47.0,0.62
19301,19800,45.2,0.44
19401,19900,41.6,0.08
19501,20000,38.6,-0.22
19601,20100,39.2,-0.16
19701,20200,40.2,-0.06
19801,20300,45.2,0.44
19901,20400,46.8,0.6
20001,20500,45.2,0.44
20101,20600,41.6,0.08
20201,20700,39.0,-0.18
20301,20800,33.4,-0.73
20401,20900,31.8,-0.89
20501,21000,31.6,-0.91
20601,21100,32.8,-0.79
20701,21200,34.4,-0.64
20801,21300,34.0,-0.68
20901,21400,36.0,-0.48
21001,21500,34.2,-0.66
21101,21600,33.2,-0.75
21201,21700,33.6,-0.71
21301,21800,32.8,-0.79
21401,21900,32.4,-0.83
21501,22000,36.8,-0.4
21601,22100,37.6,-0.32
21701,22200,34.2,-0.66
21801,22300,36.8,-0.4
21901,22400,35.8,-0.5
22001,22500,34.2,-0.66
22101,22600,32.8,-0.79
22201,22700,37.0,-0.38
22301,22800,34.2,-0.66
22401,22900,34.0,-0.68
22501,23000,34.6,-0.62
22601,23100,39.8,-0.1
22701,23200,40.6,-0.02
22801,23300,45.2,0.44
22901,23400,45.8,0.5
23001,23500,46.2,0.54
23101,23600,41.4,0.06
23201,23700,37.6,-0.32
23301,23800,35.0,-0.58
23401,23900,35.0,-0.58
23501,24000,37.8,-0.3
23601,24100,41.6,0.08
23701,24200,44.8,0.4
23801,24300,43.2,0.24
23901,24400,42.4,0.16
24001,24500,39.2,-0.16
24101,24600,37.0,-0.38
24201,24700,35.8,-0.5
24301,24800,42.4,0.16
24401,24900,46.6,0.58
24501,25000,45.8,0.5
24601,25100,44.6,0.38
24701,25200,48.0,0.72
24801,25300,46.6,0.58
24901,25400,47.8,0.7
25001,25500,50.4,0.95
25101,25600,50.8,0.99
25201,25700,45.8,0.5
25301,25800,41.4,0.06
25401,25900,38.6,-0.22
25501,26000,39.2,-0.16
25601,26100,41.6,0.08
25701,26200,43.6,0.28
25801,26300,44.2,0.34
25901,26400,42.4,0.16
26001,26500,39.0,-0.18
26101,26600,36.8,-0.4
26201,26700,35.2,-0.56
26301,26800,35.8,-0.5
26401,26900,41.0,0.02
26501,27000,44.0,0.32
26601,27100,45.0,0.42
26701,27200,45.2,0.44
26801,27300,43.4,0.26
26901,27400,37.4,-0.34
27001,27500,34.8,-0.6
27101,27600,32.2,-0.85
27201,27700,30.6,-1.01
27301,27800,31.6,-0.91
27401,27900,32.2,-0.85
27501,28000,32.4,-0.83
27601,28100,35.2,-0.56
27701,28200,35.4,-0.54
27801,28300,35.6,-0.52
27901,28400,35.6,-0.52
28001,28500,36.2,-0.46
28101,28600,35.4,-0.54
28201,28700,35.8,-0.5
28301,28800,38.2,-0.26
28401,28900,37.8,-0.3
28501,29000,36.4,-0.44
28601,29100,36.6,-0.42
28701,29200,38.4,-0.24
28801,29300,36.6,-0.42
28901,29400,36.8,-0.4
29001,29500,36.8,-0.4
29101,29600,33.8,-0.69
29201,29700,31.8,-0.89
29301,29800,30.8,-0.99
29401,29900,31.4,-0.93
29501,30000,30.4,-1.03
29601,30100,32.2,-0.85
29701,30200,32.6,-0.81
29801,30300,33.2,-0.75
29901,30400,30.8,-0.99
30001,30500,31.2,-0.95
30101,30600,30.6,-1.01
30201,30700,32.2,-0.85
30301,30800,38.0,-0.28
30401,30900,42.2,0.14
30501,31000,46.0,0.52
30601,31100,47.2,0.64
30701,31200,44.6,0.38
30801,31300,37.8,-0.3
30901,31400,37.4,-0.34
31001,31500,33.4,-0.73
31101,31600,33.0,-0.77
31201,31700,34.8,-0.6
31301,31800,35.4,-0.54
31401,31900,34.2,-0.66
31501,32000,37.8,-0.3
31601,32100,39.8,-0.1
31701,32200,42.0,0.12
31801,32300,47.0,0.62
31901,32400,47.0,0.62
32001,32500,43.8,0.3
32101,32600,43.8,0.3
32201,32700,43.6,0.28
32301,32800,38.8,-0.2
32401,32900,37.2,-0.36
32501,33000,38.8,-0.2
32601,33100,39.2,-0.16
32701,33200,37.4,-0.34
32801,33300,38.6,-0.22
32901,33400,38.4,-0.24
33001,33500,36.2,-0.46
33101,33600,33.0,-0.77
33201,33700,30.8,-0.99
33301,33800,29.2,-1.15
33401,33900,31.0,-0.97
33501,34000,31.8,-0.89
33601,34100,33.2,-0.75
33701,34200,35.4,-0.54
33801,34300,39.0,-0.18
33901,34400,39.6,-0.12
34001,34500,40.2,-0.06
34101,34600,39.4,-0.14
34201,34700,39.4,-0.14
34301,34800,35.4,-0.54
34401,34900,36.0,-0.48
34501,35000,33.4,-0.73
34601,35100,35.8,-0.5
34701,35200,39.4,-0.14
34801,35300,43.8,0.3
34901,35400,43.0,0.22
35001,35500,44.8,0.4
35101,35600,43.2,0.24
35201,35700,40.0,-0.08
35301,35800,41.6,0.08
35401,35900,43.2,0.24
35501,36000,46.6,0.58
35601,36100,48.0,0.72
35701,36200,48.0,0.72
35801,36300,42.6,0.18
35901,36400,40.4,-0.04
36001,36500,37.8,-0.3
36101,36600,36.4,-0.44
36201,36700,36.4,-0.44
36301,36800,35.4,-0.54
