start,end,gc_content,z_score
1,500,75.2,3.3
101,600,72.2,2.87
201,700,67.4,2.18
301,800,67.4,2.18
401,900,69.2,2.44
501,1000,67.2,2.15
601,1100,69.0,2.41
701,1200,72.0,2.84
801,1300,73.6,3.07
901,1400,69.4,2.47
1001,1500,68.4,2.33
1101,1600,66.0,1.98
1201,1700,63.8,1.67
1301,1800,60.0,1.12
1401,1900,59.4,1.03
1501,2000,60.4,1.18
1601,2100,59.6,1.06
1701,2200,61.0,1.26
1801,2300,63.4,1.61
1901,2400,65.4,1.9
2001,2500,67.8,2.24
2101,2600,70.2,2.58
2201,2700,69.2,2.44
2301,2800,65.4,1.9
2401,2900,62.4,1.47
2501,3000,57.6,0.78
2601,3100,54.6,0.35
2701,3200,55.2,0.43
2801,3300,56.0,0.55
2901,3400,57.4,0.75
3001,3500,58.0,0.83
3101,3600,57.8,0.81
3201,3700,52.6,0.06
3301,3800,50.8,-0.2
3401,3900,50.4,-0.26
3501,4000,48.6,-0.51
3601,4100,44.4,-1.12
3701,4200,45.0,-1.03
3801,4300,47.4,-0.69
3901,4400,45.6,-0.95
4001,4500,46.8,-0.77
4101,4600,49.0,-0.46
4201,4700,49.0,-0.46
4301,4800,48.0,-0.6
4401,4900,48.8,-0.49
4501,5000,46.8,-0.77
4601,5100,50.2,-0.29
4701,5200,51.8,-0.06
4801,5300,52.0,-0.03
4901,5400,47.2,-0.72
5001,5500,48.8,-0.49
5101,5600,46.6,-0.8
5201,5700,49.2,-0.43
5301,5800,47.2,-0.72
5401,5900,53.0,0.12
5501,6000,52.6,0.06
5601,6100,51.6,-0.08
5701,6200,51.2,-0.14
5801,6300,51.6,-0.08
5901,6400,50.8,-0.2
6001,6500,48.8,-0.49
6101,6600,45.2,-1.0
6201,6700,44.8,-1.06
6301,6800,44.6,-1.09
6401,6900,44.0,-1.17
6501,7000,48.0,-0.6
6601,7100,51.8,-0.06
6701,7200,50.2,-0.29
6801,7300,49.2,-0.43
6901,7400,49.4,-0.4
7001,7500,45.6,-0.95
7101,7600,45.2,-1.0
7201,7700,46.8,-0.77
7301,7800,48.4,-0.54
7401,7900,48.8,-0.49
7501,8000,48.6,-0.51
7601,8100,48.6,-0.51
7701,8200,46.8,-0.77
7801,8300,49.6,-0.37
7901,8400,47.2,-0.72
8001,8500,48.2,-0.57
8101,8600,49.2,-0.43
8201,8700,50.6,-0.23
8301,8800,49.4,-0.4
8401,8900,52.2,0.0
8501,9000,54.2,0.29
8601,9100,54.4,0.32
8701,9200,54.6,0.35
8801,9300,55.8,0.52
8901,9400,55.6,0.49
9001,9500,55.6,0.49
9101,9600,57.0,0.69
9201,9700,55.6,0.49
9301,9800,53.4,0.17
9401,9900,53.4,0.17
9501,10000,51.2,-0.14
9601,10100,49.6,-0.37
9701,10200,50.2,-0.29
9801,10300,51.2,-0.14
9901,10400,53.2,0.15
10001,10500,54.4,0.32
10101,10600,56.0,0.55
10201,10700,55.4,0.46
10301,10800,53.0,0.12
10401,10900,51.2,-0.14
10501,11000,51.2,-0.14
10601,11100,49.8,-0.34
10701,11200,51.8,-0.06
10801,11300,53.6,0.2
10901,11400,52.6,0.06
11001,11500,54.0,0.26
11101,11600,53.6,0.2
11201,11700,53.4,0.17
11301,11800,55.4,0.46
11401,11900,56.4,0.6
11501,12000,57.8,0.81
11601,12100,60.4,1.18
11701,12200,60.4,1.18
11801,12300,59.6,1.06
11901,12400,57.6,0.78
12001,12500,53.4,0.17
12101,12600,52.4,0.03
12201,12700,49.8,-0.34
12301,12800,48.2,-0.57
12401,12900,51.2,-0.14
12501,13000,50.4,-0.26
12601,13100,46.4,-0.83
12701,13200,47.2,-0.72
12801,13300,44.6,-1.09
12901,13400,42.8,-1.35
13001,13500,44.8,-1.06
13101,13600,49.2,-0.43
13201,13700,47.2,-0.72
13301,13800,49.2,-0.43
13401,13900,46.2,-0.86
13501,14000,44.2,-1.15
13601,14100,42.6,-1.38
13701,14200,46.6,-0.8
13801,14300,47.6,-0.66
13901,14400,52.2,0.0
14001,14500,54.6,0.35
14101,14600,55.6,0.49
14201,14700,53.6,0.2
14301,14800,53.0,0.12
14401,14900,49.8,-0.34
14501,15000,48.2,-0.57
14601,15100,42.8,-1.35
14701,15200,44.6,-1.09
14801,15300,45.6,-0.95
14901,15400,46.4,-0.83
15001,15500,47.4,-0.69
15101,15600,51.4,-0.11
15201,15700,51.4,-0.11
15301,15800,51.0,-0.17
15401,15900,51.2,-0.14
15501,16000,53.2,0.15
15601,16100,50.0,-0.31
15701,16200,47.6,-0.66
15801,16300,45.0,-1.03
15901,16400,44.8,-1.06
16001,16500,43.4,-1.26
16101,16600,48.0,-0.6
16201,16700,49.4,-0.4
16301,16800,50.0,-0.31
16401,16900,52.0,-0.03
16501,17000,49.0,-0.46
16601,17100,44.0,-1.17
16701,17200,39.0,-1.89
16801,17300,41.2,-1.58
16901,17400,39.0,-1.89
17001,17500,44.4,-1.12
17101,17600,45.8,-0.92
17201,17700,50.8,-0.2
17301,17800,49.6,-0.37
17401,17900,51.6,-0.08
17501,18000,46.2,-0.86
17601,18100,47.2,-0.72
17701,18200,47.4,-0.69
17801,18300,51.0,-0.17
17901,18400,49.2,-0.43
18001,18500,53.2,0.15
18101,18600,54.0,0.26
18201,18700,53.6,0.2
18301,18800,51.8,-0.06
18401,18900,51.6,-0.08
18501,19000,49.2,-0.43
18601,19100,49.8,-0.34
18701,19200,48.8,-0.49
18801,19300,48.8,-0.49
18901,19400,51.2,-0.14
19001,19500,51.4,-0.11
19101,19600,49.6,-0.37
19201,19700,50.4,-0.26
19301,19800,50.0,-0.31
19401,19900,47.6,-0.66
19501,20000,44.4,-1.12
19601,20100,42.6,-1.38
19701,20200,40.4,-1.69
19801,20300,39.4,-1.83
19901,20400,39.8,-1.78
20001,20500,44.8,-1.06
20101,20600,48.4,-0.54
20201,20700,51.0,-0.17
20301,20800,49.2,-0.43
20401,20900,50.8,-0.2
20501,21000,50.4,-0.26
20601,21100,48.0,-0.6
20701,21200,47.8,-0.63
20801,21300,48.0,-0.6
20901,21400,46.2,-0.86
21001,21500,42.2,-1.43
21101,21600,47.0,-0.74
21201,21700,49.2,-0.43
21301,21800,53.4,0.17
21401,21900,55.8,0.52
21501,22000,61.2,1.29
21601,22100,58.4,0.89
21701,22200,55.2,0.43
21801,22300,54.6,0.35
21901,22400,51.6,-0.08
