start,end,gc_content,z_score
1,500,66.4,3.2
101,600,67.6,3.36
201,700,67.2,3.31
301,800,58.4,2.12
401,900,53.2,1.42
501,1000,47.2,0.61
601,1100,44.4,0.23
701,1200,41.8,-0.13
801,1300,47.6,0.66
901,1400,51.0,1.12
1001,1500,51.8,1.23
1101,1600,48.8,0.82
1201,1700,48.4,0.77
1301,1800,41.6,-0.15
1401,1900,35.4,-0.99
1501,2000,33.6,-1.23
1601,2100,34.4,-1.13
1701,2200,34.8,-1.07
1801,2300,35.8,-0.94
1901,2400,41.0,-0.23
2001,2500,40.0,-0.37
2101,2600,38.8,-0.53
2201,2700,37.2,-0.75
2301,2800,39.0,-0.5
2401,2900,36.2,-0.88
2501,3000,39.2,-0.48
2601,3100,42.0,-0.1
2701,3200,46.0,0.44
2801,3300,44.2,0.2
2901,3400,45.6,0.39
3001,3500,43.2,0.06
3101,3600,42.8,0.01
3201,3700,38.2,-0.61
3301,3800,40.8,-0.26
3401,3900,40.4,-0.31
3501,4000,42.4,-0.04
3601,4100,41.0,-0.23
3701,4200,42.8,0.01
3801,4300,41.4,-0.18
3901,4400,41.2,-0.21
4001,4500,41.8,-0.13
4101,4600,42.6,-0.02
4201,4700,43.0,0.04
4301,4800,41.8,-0.13
4401,4900,41.0,-0.23
4501,5000,40.2,-0.34
4601,5100,41.6,-0.15
4701,5200,41.2,-0.21
4801,5300,43.0,0.04
4901,5400,43.4,0.09
5001,5500,43.6,0.12
5101,5600,42.6,-0.02
5201,5700,41.8,-0.13
5301,5800,41.6,-0.15
5401,5900,39.8,-0.4
5501,6000,38.6,-0.56
5601,6100,35.4,-0.99
5701,6200,33.8,-1.21
5801,6300,33.8,-1.21
5901,6400,36.6,-0.83
6001,6500,35.0,-1.05
6101,6600,34.0,-1.18
