start,end,gc_content,z_score
1,500,57.4,3.24
101,600,53.4,2.28
201,700,47.4,0.84
301,800,46.2,0.55
401,900,45.4,0.36
501,1000,42.4,-0.36
601,1100,39.6,-1.03
701,1200,38.4,-1.32
801,1300,40.4,-0.84
901,1400,38.8,-1.22
1001,1500,41.2,-0.65
1101,1600,41.8,-0.5
1201,1700,42.8,-0.26
1301,1800,39.6,-1.03
1401,1900,45.0,0.26
1501,2000,46.2,0.55
1601,2100,47.2,0.79
1701,2200,44.0,0.02
1801,2300,43.2,-0.17
1901,2400,43.2,-0.17
2001,2500,41.0,-0.69
2101,2600,40.4,-0.84
2201,2700,40.8,-0.74
2301,2800,40.6,-0.79
2401,2900,37.4,-1.56
2501,3000,40.0,-0.93
2601,3100,39.2,-1.13
2701,3200,44.0,0.02
2801,3300,47.8,0.94
2901,3400,48.0,0.98
3001,3500,46.8,0.7
3101,3600,47.0,0.74
3201,3700,44.2,0.07
3301,3800,44.6,0.17
3401,3900,46.8,0.7
3501,4000,44.8,0.22
3601,4100,43.2,-0.17
3701,4200,42.8,-0.26
3801,4300,40.6,-0.79
3901,4400,37.0,-1.65
4001,4500,34.8,-2.18
4101,4600,36.6,-1.75
4201,4700,37.2,-1.61
4301,4800,37.4,-1.56
4401,4900,39.4,-1.08
4501,5000,45.4,0.36
4601,5100,47.2,0.79
4701,5200,49.0,1.22
4801,5300,49.4,1.32
4901,5400,47.4,0.84
5001,5500,46.4,0.6
5101,5600,45.4,0.36
5201,5700,45.6,0.41
5301,5800,48.8,1.18
5401,5900,49.4,1.32
5501,6000,46.4,0.6
5601,6100,44.2,0.07
5701,6200,43.2,-0.17
5801,6300,42.6,-0.31
5901,6400,43.6,-0.07
6001,6500,45.4,0.36
6101,6600,46.4,0.6
6201,6700,47.0,0.74
6301,6800,46.6,0.65
6401,6900,48.0,0.98
