start,end,gc_content,z_score
1,500,72.2,1.26
101,600,65.6,0.62
201,700,59.6,0.05
301,800,55.8,-0.32
401,900,51.6,-0.72
501,1000,47.8,-1.09
601,1100,50.4,-0.84
701,1200,50.8,-0.8
801,1300,51.6,-0.72
901,1400,50.8,-0.8
1001,1500,53.0,-0.59
1101,1600,51.8,-0.7
1201,1700,52.0,-0.68
1301,1800,51.8,-0.7
1401,1900,49.0,-0.97
1501,2000,48.4,-1.03
1601,2100,47.6,-1.1
1701,2200,47.0,-1.16
1801,2300,47.2,-1.14
1901,2400,49.8,-0.89
2001,2500,51.2,-0.76
2101,2600,52.4,-0.64
2201,2700,55.6,-0.34
2301,2800,58.6,-0.05
2401,2900,62.8,0.35
2501,3000,67.2,0.78
2601,3100,72.2,1.26
2701,3200,74.8,1.51
2801,3300,77.8,1.79
2901,3400,76.6,1.68
3001,3500,73.8,1.41
3101,3600,72.6,1.3
3201,3700,70.4,1.08
3301,3800,67.0,0.76
3401,3900,64.0,0.47
3501,4000,62.2,0.3
3601,4100,59.8,0.07
3701,4200,56.2,-0.28
3801,4300,53.6,-0.53
3901,4400,52.2,-0.66
4001,4500,51.0,-0.78
4101,4600,49.0,-0.97
4201,4700,52.2,-0.66
4301,4800,51.0,-0.78
4401,4900,52.6,-0.62
4501,5000,54.2,-0.47
4601,5100,53.8,-0.51
4701,5200,50.2,-0.85
4801,5300,51.4,-0.74
4901,5400,50.6,-0.82
5001,5500,49.4,-0.93
5101,5600,51.0,-0.78
5201,5700,49.6,-0.91
5301,5800,51.8,-0.7
5401,5900,50.8,-0.8
5501,6000,52.6,-0.62
5601,6100,52.4,-0.64
5701,6200,56.4,-0.26
5801,6300,58.0,-0.11
5901,6400,61.8,0.26
6001,6500,61.8,0.26
6101,6600,64.4,0.51
6201,6700,65.8,0.64
6301,6800,66.2,0.68
6401,6900,66.8,0.74
6501,7000,70.0,1.05
6601,7100,70.2,1.07
6701,7200,71.6,1.2
6801,7300,72.8,1.31
6901,7400,75.2,1.55
7001,7500,75.4,1.56
7101,7600,77.8,1.79
7201,7700,78.6,1.87
7301,7800,77.6,1.78
7401,7900,77.6,1.78
7501,8000,76.4,1.66
7601,8100,71.6,1.2
7701,8200,60.2,0.11
7801,8300,56.4,-0.26
7901,8400,49.0,-0.97
8001,8500,39.8,-1.85
8101,8600,36.8,-2.14
